Question,Context
Rappler,Please abide by Rappler s commenting guidelines 
JOIN,JOIN OUR NEWSLETTER Fearless reporting delivered to you follow us
Variety,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
Hollywood,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
John Hopewell,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
China,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
Fox,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
Tales,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
France,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
Annecy Intl,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Embraced by Hollywood  the world s premier animation festival still builds as animation becomes a worldwide production phenomenon By John Hopewell Chief International Correspondent Illumination Mac Guff s Despicable Me 3  China  DisneyPixar s Coco and The Big Bad Fox and Other Tales look set to figure among highlights at this week s edition of France s thriving Annecy Intl 
Animation,Animation Film Festival  a Mecca for animation companies and creatives from Hollywood and the world over  which just doesn t stop growing 
Film Festival,Animation Film Festival  a Mecca for animation companies and creatives from Hollywood and the world over  which just doesn t stop growing 
Hollywood,Animation Film Festival  a Mecca for animation companies and creatives from Hollywood and the world over  which just doesn t stop growing 
International Animation Film Market,In just one sign  its International Animation Film Market  MIFA  will add an extra day  kicking in June 13 and moving from three to four days 
MIFA,In just one sign  its International Animation Film Market  MIFA  will add an extra day  kicking in June 13 and moving from three to four days 
MIFA,MIFA accredited delegate numbers were tracking at 2900 by last Friday  already up on the final 2016 tally go 2850  said MIFA head Mickael Marin  who added that he hoped final participation would pass 3000 for the first time ever 
MIFA,MIFA accredited delegate numbers were tracking at 2900 by last Friday  already up on the final 2016 tally go 2850  said MIFA head Mickael Marin  who added that he hoped final participation would pass 3000 for the first time ever 
Mickael Marin,MIFA accredited delegate numbers were tracking at 2900 by last Friday  already up on the final 2016 tally go 2850  said MIFA head Mickael Marin  who added that he hoped final participation would pass 3000 for the first time ever 
Annecy,Extending ever more towards Annecy s lake  exhibition floor space is also up 16   vs 2016 
Africa,Driven by the increase in animation output in most parts of the world  including Africa  Marin said  delegate numbers have now grown 13 years in a row  since 2005  casting MIFA as a metaphor for the international animation scene at large and one of the most robustlygrowing industry events in Europe 
Marin,Driven by the increase in animation output in most parts of the world  including Africa  Marin said  delegate numbers have now grown 13 years in a row  since 2005  casting MIFA as a metaphor for the international animation scene at large and one of the most robustlygrowing industry events in Europe 
MIFA,Driven by the increase in animation output in most parts of the world  including Africa  Marin said  delegate numbers have now grown 13 years in a row  since 2005  casting MIFA as a metaphor for the international animation scene at large and one of the most robustlygrowing industry events in Europe 
Europe,Driven by the increase in animation output in most parts of the world  including Africa  Marin said  delegate numbers have now grown 13 years in a row  since 2005  casting MIFA as a metaphor for the international animation scene at large and one of the most robustlygrowing industry events in Europe 
Patrick,Patrick Eveno  CEO of the Annecy Festival s Citia organization  added that he expected 5  to 10  growth in Annecy Festival accreditation 
Eveno,Patrick Eveno  CEO of the Annecy Festival s Citia organization  added that he expected 5  to 10  growth in Annecy Festival accreditation 
CEO,Patrick Eveno  CEO of the Annecy Festival s Citia organization  added that he expected 5  to 10  growth in Annecy Festival accreditation 
Annecy Festival,Patrick Eveno  CEO of the Annecy Festival s Citia organization  added that he expected 5  to 10  growth in Annecy Festival accreditation 
Citia,Patrick Eveno  CEO of the Annecy Festival s Citia organization  added that he expected 5  to 10  growth in Annecy Festival accreditation 
Annecy,Patrick Eveno  CEO of the Annecy Festival s Citia organization  added that he expected 5  to 10  growth in Annecy Festival accreditation 
Annecy Festival,Announced by the Annecy Festival as a world premiere  Despicable Me 3 continues Chris Meledandri s close relationship with the French festival which has hosted the bows of the first two parts of the franchise and Minions to a  27 billion worldwide box office to date 
Chris Meledandri,Announced by the Annecy Festival as a world premiere  Despicable Me 3 continues Chris Meledandri s close relationship with the French festival which has hosted the bows of the first two parts of the franchise and Minions to a  27 billion worldwide box office to date 
French,Announced by the Annecy Festival as a world premiere  Despicable Me 3 continues Chris Meledandri s close relationship with the French festival which has hosted the bows of the first two parts of the franchise and Minions to a  27 billion worldwide box office to date 
Minions,Announced by the Annecy Festival as a world premiere  Despicable Me 3 continues Chris Meledandri s close relationship with the French festival which has hosted the bows of the first two parts of the franchise and Minions to a  27 billion worldwide box office to date 
Director,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Lee Unkrich,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Darla K. Anderson,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Adrian Molina,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Dave Mullins,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Dana Murray,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Pixar,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Lost,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
SXSW Festival,Director Lee Unkrich and producer Darla K Anderson  who previously teamed on Toy Story 3  will present  along with codirector Adrian Molina  footage from Coco after its new trailer last week  one question is what new footage they might show while director Dave Mullins and producer Dana Murray will talk up Pixar short Lost  fOUnd  which bowed at March s SXSW Festival 
Annecy,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
U.S.,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
Annecy,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
Mifa Campus,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
Eric Coleman,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
VP,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
Disney Television Animation,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
Disney,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
Glen Keane,Cars 3 will screen at Annecy on Friday June 16  the same say as its commercial bow in the US Guillermo del Toro host Annecy s inaugural Mifa Campus  and delivers a keynote  as will Eric Coleman  VP at Disney Television Animation  vet Disney directoranimator Glen Keane 
Japan,Japan s Go Nagai will present Mazinger Z  a new animated feature from the Manga series 
Go Nagai,Japan s Go Nagai will present Mazinger Z  a new animated feature from the Manga series 
Hollywood,The real sign of Hollywood s raised ambitions and production volume in animation may be seen most clearly in another keynote  by Kristine Belson  president of Sony Pictures Animation  as well as a studio focus presentation by Allison Abbate  EVP Theatrical Animation at Warner Animation Group 
Kristine Belson,The real sign of Hollywood s raised ambitions and production volume in animation may be seen most clearly in another keynote  by Kristine Belson  president of Sony Pictures Animation  as well as a studio focus presentation by Allison Abbate  EVP Theatrical Animation at Warner Animation Group 
Sony Pictures Animation,The real sign of Hollywood s raised ambitions and production volume in animation may be seen most clearly in another keynote  by Kristine Belson  president of Sony Pictures Animation  as well as a studio focus presentation by Allison Abbate  EVP Theatrical Animation at Warner Animation Group 
Allison Abbate,The real sign of Hollywood s raised ambitions and production volume in animation may be seen most clearly in another keynote  by Kristine Belson  president of Sony Pictures Animation  as well as a studio focus presentation by Allison Abbate  EVP Theatrical Animation at Warner Animation Group 
EVP Theatrical,The real sign of Hollywood s raised ambitions and production volume in animation may be seen most clearly in another keynote  by Kristine Belson  president of Sony Pictures Animation  as well as a studio focus presentation by Allison Abbate  EVP Theatrical Animation at Warner Animation Group 
Warner Animation Group,The real sign of Hollywood s raised ambitions and production volume in animation may be seen most clearly in another keynote  by Kristine Belson  president of Sony Pictures Animation  as well as a studio focus presentation by Allison Abbate  EVP Theatrical Animation at Warner Animation Group 
Annecy,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Progress,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Nora Twomey,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Breadwinner,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Ireland,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Cartoon Saloon,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Book,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Kells,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Twomey,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Song,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Sea,Showcasing presentations of features and TV shows anywhere from development to near completion  Annecy s Work in Progress section looks particularly rich this year  with Nora Twomey taking an audience through The Breadwinner  the latest from Ireland s Cartoon Saloon  The Book of Kells  which Twomey codirected  The Song of the Sea  
Jorge,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Book,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Life,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Mexico,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Dead,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Kung Fu Space Punch,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Reel FX Animation Studios,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Gutierrez,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Reel FX,Jorge R Gutierrez  director of the vibrant The Book of Life  an eye popping celebration of Mexico s Day of the Dead and its core beliefs which grossed  100 million worldwide  introduces narrative beats and design from his latest toon feature project  Kung Fu Space Punch  produced by Dallasbased Reel FX Animation Studios as part of a longterm deal between Gutierrez and Reel FX 
Annecy,Annecy opens this year with FrenchBelgian title Zombillenium  already seen at Cannes  a comedic horror movie set in a Halloween theme park staffed by real monsters  adapted by Arthur Pins and Alexis Ducord from Pins own ravedabout comic book series 
French-Belgian,Annecy opens this year with FrenchBelgian title Zombillenium  already seen at Cannes  a comedic horror movie set in a Halloween theme park staffed by real monsters  adapted by Arthur Pins and Alexis Ducord from Pins own ravedabout comic book series 
Cannes,Annecy opens this year with FrenchBelgian title Zombillenium  already seen at Cannes  a comedic horror movie set in a Halloween theme park staffed by real monsters  adapted by Arthur Pins and Alexis Ducord from Pins own ravedabout comic book series 
Arthur Pins,Annecy opens this year with FrenchBelgian title Zombillenium  already seen at Cannes  a comedic horror movie set in a Halloween theme park staffed by real monsters  adapted by Arthur Pins and Alexis Ducord from Pins own ravedabout comic book series 
Alexis Ducord,Annecy opens this year with FrenchBelgian title Zombillenium  already seen at Cannes  a comedic horror movie set in a Halloween theme park staffed by real monsters  adapted by Arthur Pins and Alexis Ducord from Pins own ravedabout comic book series 
Pins,Annecy opens this year with FrenchBelgian title Zombillenium  already seen at Cannes  a comedic horror movie set in a Halloween theme park staffed by real monsters  adapted by Arthur Pins and Alexis Ducord from Pins own ravedabout comic book series 
French,That forms just part  however  of one of the most substantial rollouts of French animation at Annecy in recent years  with Studiocanal  Folivari  ON Animation Studios 
Annecy,That forms just part  however  of one of the most substantial rollouts of French animation at Annecy in recent years  with Studiocanal  Folivari  ON Animation Studios 
Studiocanal,That forms just part  however  of one of the most substantial rollouts of French animation at Annecy in recent years  with Studiocanal  Folivari  ON Animation Studios 
Folivari,That forms just part  however  of one of the most substantial rollouts of French animation at Annecy in recent years  with Studiocanal  Folivari  ON Animation Studios 
Les,Les Armateurs and Ankama all at the festival with new titles 
Armateurs,Les Armateurs and Ankama all at the festival with new titles 
Ankama,Les Armateurs and Ankama all at the festival with new titles 
Europe,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Studiocanal,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Annecy,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Fox,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Tales,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Didier Brunner,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Folivari,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Benjamin Renner,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Academy,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Celestine,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Petit Vampire,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Joann Sfar,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Autochenille,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Sfar,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Progress,One of Europe s animation drivers  Studiocanal is distributing and selling two titles at Annecy  the awaited  threepart The Big Bad Fox and Other Tales  produced by Didier Brunner s Folivari and codirected by Benjamin Renner  one of the directors on the Academy Awardnominated Ernest  Celestine  and Petit Vampire  from Joann Sfar  Gainsbourg   produced by Autochenille  which Sfar will present as a Work in Progress 
Looney,Looney Toons meets Miyazaki  featuring the adventures of a daffy duck  cackhanded rabbit  weedy fox and very sensible pig  not that it does him much good  The Big Bad Fox hits Annecy for a oneoff special event screening as one of the most buzzedup of its premieres 
Toons,Looney Toons meets Miyazaki  featuring the adventures of a daffy duck  cackhanded rabbit  weedy fox and very sensible pig  not that it does him much good  The Big Bad Fox hits Annecy for a oneoff special event screening as one of the most buzzedup of its premieres 
Miyazaki,Looney Toons meets Miyazaki  featuring the adventures of a daffy duck  cackhanded rabbit  weedy fox and very sensible pig  not that it does him much good  The Big Bad Fox hits Annecy for a oneoff special event screening as one of the most buzzedup of its premieres 
Fox,Looney Toons meets Miyazaki  featuring the adventures of a daffy duck  cackhanded rabbit  weedy fox and very sensible pig  not that it does him much good  The Big Bad Fox hits Annecy for a oneoff special event screening as one of the most buzzedup of its premieres 
Annecy,Looney Toons meets Miyazaki  featuring the adventures of a daffy duck  cackhanded rabbit  weedy fox and very sensible pig  not that it does him much good  The Big Bad Fox hits Annecy for a oneoff special event screening as one of the most buzzedup of its premieres 
Celluloid,There is also good wordofmouth on the Celluloid Dreamssold Mutafukaz  another French world premiere and flagship feature from Ankama  the Gallic gamingcomicbook company best known for MMORPGs Wakfu and Dofus franchises 
French,There is also good wordofmouth on the Celluloid Dreamssold Mutafukaz  another French world premiere and flagship feature from Ankama  the Gallic gamingcomicbook company best known for MMORPGs Wakfu and Dofus franchises 
Ankama,There is also good wordofmouth on the Celluloid Dreamssold Mutafukaz  another French world premiere and flagship feature from Ankama  the Gallic gamingcomicbook company best known for MMORPGs Wakfu and Dofus franchises 
Gallic,There is also good wordofmouth on the Celluloid Dreamssold Mutafukaz  another French world premiere and flagship feature from Ankama  the Gallic gamingcomicbook company best known for MMORPGs Wakfu and Dofus franchises 
MMORPGs,There is also good wordofmouth on the Celluloid Dreamssold Mutafukaz  another French world premiere and flagship feature from Ankama  the Gallic gamingcomicbook company best known for MMORPGs Wakfu and Dofus franchises 
Japan,Coproduced by Japan s Studios  and adapting comicbooks from France s Guillaume Run Renard  who helms with Japan s Shoujirou Nishimi  a trailer suggests the movie channels the aesthetics of Nishimi s Batman  Gotham Knight and Studios Tekkon Kinkreet into a scifi action movie with current social point and a mashup of three teen deadbeats in a Latino barrio of Dark Meat City  a dystopic version of LA populated by monstrous men in black  Shakespearequoting street gang leaders and messianic Mexican wrestlers 
